time,AplusB
0,10
0.001,10
0.002,10
0.003,10
0.004,10
0.005,10
0.006,10
0.007,10
0.008,10
0.009,10
0.01,60
0.011,60
0.012,60
0.013,60
0.014,60
0.015,60
0.016,60
0.017,60
0.018,60
0.019,60
0.02,20
0.021,20
0.022,20
0.023,20
0.024,20
0.025,20
0.026,20
0.027,20
0.028,20
0.029,20
0.03,180
0.031,180
0.032,180
0.033,180
0.034,180
0.035,180
0.036,180
0.037,180
0.038,180
0.039,180
0.04,100
0.041,100
0.042,100
0.043,100
0.044,100
0.045,100
0.046,100
0.047,100
0.048,100
0.049,100
0.05,44
0.051,44
0.052,44
0.053,44
0.054,44
0.055,44
0.056,44
0.057,44
0.058,44
0.059,44
0.06,170
0.061,170
0.062,170
0.063,170
0.064,170
0.065,170
0.066,170
0.067,170
0.068,170
0.069,170
0.07,10
0.071,10
0.072,10
0.073,10
0.074,10
0.075,10
0.076,10
0.077,10
0.078,10
0.079,10
0.08,10
0.081,10
0.082,10
0.083,10
0.084,10
0.085,10
0.086,10
0.087,10
0.088,10
0.089,10
0.09,10
0.091,10
0.092,10
0.093,10
0.094,10
0.095,10
0.096,10
0.097,10
0.098,10
0.099,10
0.1,10
