"time","speed_out_rads","Te_Nm","speed_tgt_rads","SIM_STEP","PI_Controller.Ki.GainVal","PI_Controller.Kp.GainVal"
0,0,0,0,0.01,100,10
0.01,0,0,0,0.01,100,10
0.02,0,0,0,0.01,100,10
0.03,0,0,0,0.01,100,10
0.04,0,0,0,0.01,100,10
0.05,0,0,0,0.01,100,10
0.06,0,0,0,0.01,100,10
0.07,0,0,0,0.01,100,10
0.08,0,0,0,0.01,100,10
0.09,0,0,0,0.01,100,10
0.1,0,0,0,0.01,100,10
0.11,0,0,0,0.01,100,10
0.12,1.87538,142.331,100,0.01,100,10
0.13,4.09932,142.13,100,0.01,100,10
0.14,6.29525,141.932,100,0.01,100,10
0.15,8.46356,141.736,100,0.01,100,10
0.16,10.6047,141.543,100,0.01,100,10
0.17,12.719,141.352,100,0.01,100,10
0.18,14.8068,141.164,100,0.01,100,10
0.19,16.8686,140.978,100,0.01,100,10
0.2,18.9046,140.794,100,0.01,100,10
0.21,20.9152,140.612,100,0.01,100,10
0.22,22.9007,140.433,100,0.01,100,10
0.23,24.8615,140.256,100,0.01,100,10
0.24,26.7978,140.081,100,0.01,100,10
0.25,28.71,139.909,100,0.01,100,10
0.26,30.5983,139.739,100,0.01,100,10
0.27,32.4631,139.57,100,0.01,100,10
0.28,34.3046,139.404,100,0.01,100,10
0.29,36.1232,139.24,100,0.01,100,10
0.3,37.9191,139.078,100,0.01,100,10
0.31,39.6926,138.918,100,0.01,100,10
0.32,41.4441,138.76,100,0.01,100,10
0.33,43.1737,138.604,100,0.01,100,10
0.34,44.8817,138.449,100,0.01,100,10
0.35,46.5684,138.297,100,0.01,100,10
0.36,48.2341,138.147,100,0.01,100,10
0.37,49.8791,137.998,100,0.01,100,10
0.38,51.5035,137.852,100,0.01,100,10
0.39,53.1077,137.707,100,0.01,100,10
0.4,54.6919,137.564,100,0.01,100,10
0.41,56.2564,137.423,100,0.01,100,10
0.42,57.8013,137.283,100,0.01,100,10
0.43,59.327,137.146,100,0.01,100,10
0.44,60.8337,137.01,100,0.01,100,10
0.45,62.3216,136.875,100,0.01,100,10
0.46,63.7909,136.743,100,0.01,100,10
0.47,65.2419,136.612,100,0.01,100,10
0.48,66.6749,136.483,100,0.01,100,10
0.49,68.0899,136.355,100,0.01,100,10
0.5,69.4874,136.229,100,0.01,100,10
0.51,70.8674,136.104,100,0.01,100,10
0.52,72.2302,135.981,100,0.01,100,10
0.53,73.576,135.86,100,0.01,100,10
0.54,74.9051,135.74,100,0.01,100,10
0.55,76.2176,135.621,100,0.01,100,10
0.56,77.5137,135.504,100,0.01,100,10
0.57,78.7937,135.389,100,0.01,100,10
0.58,80.0577,135.275,100,0.01,100,10
0.59,81.3059,135.162,100,0.01,100,10
0.6,82.5386,135.051,100,0.01,100,10
0.61,83.756,134.941,100,0.01,100,10
0.62,84.9581,134.833,100,0.01,100,10
0.63,86.1453,134.725,100,0.01,100,10
0.64,87.3177,134.62,100,0.01,100,10
